year,house_party_unity_votes_pct,house_dem_unity_score,house_gop_unity_score,senate_party_unity_votes_pct,senate_dem_unity_score,senate_gop_unity_score
1969,31.1,71,71,36.3,74,72
1970,27.1,71,72,35.2,71,71
1971,37.8,72,76,41.6,74,75
1972,27.1,70,76,36.5,72,73
1973,41.8,75,74,29.9,79,74
1974,29.4,72,71,44.3,72,68
1975,48.4,75,78,47.8,76,71
1976,35.9,75,75,37.2,74,72
1977,42.2,74,77,42.4,72,75
1978,33.2,71,77,45.2,75,66
1979,47.3,75,79,46.7,76,73
1980,37.6,78,79,45.8,76,74
1981,37.4,75,80,47.8,77,85
1982,36.4,77,76,43.4,76,80
1983,55.6,82,80,43.7,76,79
1984,47.1,81,77,40.0,75,83
1985,61.0,86,80,49.6,79,81
1986,56.5,86,76,52.3,74,80
1987,63.7,88,79,40.7,85,78
1988,47.0,88,80,42.5,85,74
1989,56.3,86,76,35.3,79,79
1990,49.1,86,78,54.3,82,77
1991,55.1,86,81,49.3,83,83
1992,64.5,86,84,53.0,82,83
1993,65.5,89,87,67.1,87,86
1994,61.8,88,87,51.7,86,81
1995,73.2,84,93,68.8,84,91
1996,56.4,84,90,62.4,86,91
1997,50.4,85,91,50.3,86,88
1998,55.5,86,89,55.7,90,88
1999,47.3,86,88,62.8,91,90
2000,43.2,86,90,48.7,90,91
2001,40.2,86,94,55.3,90,90
2002,43.3,90,93,45.5,85,88
2003,51.7,91,95,66.7,89,95
2004,47.0,91,93,52.3,88,93
2005,49.0,91,93,62.6,90,90
2006,54.5,90,91,57.3,89,87
2007,62.0,95,90,60.0,91,84
2008,53.3,97,92,51.6,91,87
2009,50.9,94,89,72.0,93,87
2010,40.0,93,94,78.6,93,92
2011,75.8,91,94,51.1,94,88
2012,72.8,91,93,59.8,93,83
2013,68.6,92,95,69.8,96,89
2014,72.6,94,95,66.7,99,90
2015,75.1,95,94,69.3,93,91
2016,73.4,96,96,46.0,92,86
2017,76.0,96,95,68.9,94,98
2018,58.6,94,94,49.6,89,95
2019,68.0,98,92,54.0,92,97
2020,69.8,98,95,64.4,93,97
2021,63.2,99,96,79.2,99,89
2022,53.1,98,94,83.1,98,86
2023,,,,81.0,,
2024,65.3,,,74.6,,
2025,85.3,93,95,,92,96
