year,n_orders,mean_structural_weight_pct,median_structural_weight_pct
1936,269,2.63,0.0
1937,253,0.94,0.0
1938,246,1.46,0.0
1939,286,3.52,0.0
1940,307,6.18,0.0
1941,381,8.08,0.0
1942,287,9.25,0.0
1943,120,12.66,0.0
1944,96,12.23,0.0
1945,164,8.21,0.0
1946,145,6.82,0.0
1947,101,5.71,0.0
1948,107,6.37,0.0
1949,69,4.76,0.0
1950,105,9.21,0.0
1951,118,13.9,10.0
1952,104,11.33,10.0
1953,90,10.15,0.0
1954,73,5.37,0.0
1955,65,4.21,0.0
1956,44,2.56,0.0
1957,53,6.94,0.0
1958,50,7.14,0.0
1959,60,4.06,0.0
1960,42,2.71,0.0
1961,84,4.45,0.0
1962,89,4.9,0.0
1963,62,2.86,0.0
1964,56,7.42,2.5
1965,74,9.44,5.9
1966,57,11.13,5.56
1967,65,8.26,5.56
1968,56,8.67,6.25
1969,61,8.34,6.25
1970,72,8.22,6.25
1971,63,8.55,6.25
1972,55,9.7,6.25
1973,64,8.5,6.25
1974,69,8.46,6.25
1975,67,7.6,6.25
1976,56,8.5,6.25
1977,83,7.02,6.25
1978,78,6.78,5.56
1979,77,9.54,0.0
1980,73,10.37,0.0
1981,76,17.28,6.25
1982,63,8.45,0.0
1983,57,10.26,0.0
1984,41,8.67,0.0
1985,45,15.12,0.0
1986,37,17.19,6.25
1987,43,15.99,12.5
1988,40,15.03,6.25
1989,36,19.11,12.5
1990,43,16.12,16.67
1991,46,18.03,13.39
1992,39,17.34,16.67
1993,63,23.23,16.67
1994,54,20.27,16.67
1995,40,20.84,16.67
1996,49,11.38,6.25
1997,38,11.65,9.16
1998,38,14.73,16.67
1999,35,18.36,18.75
2000,41,21.13,21.43
2001,66,21.73,18.75
2002,31,18.73,16.67
2003,41,20.1,16.67
2004,45,15.92,14.29
2005,26,13.94,12.5
2006,27,18.64,16.67
2007,32,19.02,18.34
2008,30,18.86,16.67
2009,44,20.9,20.71
2010,35,24.82,21.43
2011,34,25.31,25.0
2012,39,26.23,27.27
2013,20,23.17,19.05
2014,31,22.34,20.0
2015,29,22.26,21.43
2016,42,19.63,18.75
2017,62,22.14,17.71
2018,37,23.81,25.0
2019,45,25.42,27.78
2020,69,26.72,27.78
2021,91,29.53,30.0
2022,29,30.05,27.78
2023,24,32.82,35.71
2024,19,25.3,25.0
2025,238,37.93,38.89
2026,43,29.16,27.27
